State,County,Returns Total,Total AGI,Outflow,Outflow AGI,Inflow,Inflow AGI,Net Inflow(Outflow),Percentage Flow,Latitude,Longitude
TX,Liberty County,23725,1482670,2153,95849,2929,135394,776,3.2710000000000004,30.158508,-94.844061
GA,Greene County,6093,645643,428,44530,627,105277,199,3.266,33.57674,-83.166613
CO,Saguache County,1471,56314,189,6763,237,9174,48,3.263,38.031651000000004,-106.23466599999999
UT,Washington County,51242,3581771,4044,196069,5703,423214,1659,3.238,37.262531,-113.4878
SC,Horry County,120829,6647894,8588,391452,12491,825602,3903,3.23,33.909269,-78.976675
ID,Canyon County,66550,3591204,5521,246231,7635,368984,2114,3.177,43.625796,-116.70905800000001
WA,Columbia County,1355,79860,78,4057,121,6221,43,3.173,46.29285,-117.911634
AL,Limestone County,30768,2193176,2125,140568,3100,201811,975,3.1689999999999996,34.810239,-86.981399
FL,Hernando County,63180,3133865,5202,217213,7203,339444,2001,3.167,28.573043,-82.466227
GA,Fannin County,8231,449342,533,27304,793,62320,260,3.159,34.866543,-84.31733100000001
DE,Sussex County,86538,6020015,4318,233772,7045,611792,2727,3.1510000000000002,38.673227000000004,-75.337024
AZ,Yavapai County,84339,5047686,5957,303569,8607,606970,2650,3.142,34.631071,-112.577225
TN,Johnson County,5072,234632,182,7661,341,18439,159,3.135,36.453203,-81.86124699999999
TX,Ellis County,58789,4375093,4540,259216,6382,414013,1842,3.133,32.346878000000004,-96.79694
GA,Dawson County,7642,561388,873,44937,1112,75585,239,3.127,34.442608,-84.173261
OR,Deschutes County,71440,5811951,5355,345001,7585,662369,2230,3.122,43.915118,-121.225575
CO,Gilpin County,2091,146146,276,17000,341,24651,65,3.109,39.861156,-105.528878
UT,Iron County,14152,806290,1338,52121,1775,85495,437,3.088,37.909304,-113.30673999999999
NC,Pamlico County,4261,252148,249,11295,380,24492,131,3.074,35.147575,-76.66526800000001
TX,Bandera County,7535,493821,630,31284,860,61838,230,3.052,29.756389000000002,-99.248285
TX,Rockwall County,31246,3703952,3566,264880,4519,376133,953,3.05,32.898677,-96.404402
KY,Bracken County,2894,147754,127,4276,215,8072,88,3.0410000000000004,38.680365,-84.115235
CO,Custer County,1648,105742,195,8278,245,19105,50,3.034,38.101996,-105.373512
WA,Jefferson County,13277,986808,943,55466,1345,98602,402,3.028,47.805708,-123.52705700000001
GA,Paulding County,49626,3264173,5260,269783,6759,337299,1499,3.0210000000000004,33.92103,-84.86716899999999
FL,Flagler County,40791,2667645,3468,165139,4698,353956,1230,3.015,29.474890999999996,-81.286253
FL,Gilchrist County,5010,262981,460,16637,611,25273,151,3.014,29.723456,-82.795801
VA,Louisa County,12921,866165,983,58237,1372,87020,389,3.011,37.972704,-77.959795
AL,Baldwin County,73765,5421048,4609,238893,6818,491043,2209,2.995,30.659218,-87.74606700000001
UT,Wasatch County,9536,929037,1014,64681,1299,149296,285,2.989,40.334884,-111.16156799999999
GA,Butts County,6975,398817,595,25455,803,37249,208,2.9819999999999998,33.290355,-83.958221
SD,Fall River County,2618,139073,213,8588,291,12259,78,2.9789999999999996,43.221619,-103.512609
FL,Wakulla County,10191,590440,738,34833,1041,49495,303,2.9730000000000003,30.139432,-84.37484599999999
WA,Mason County,21507,1369055,1813,94154,2448,144936,635,2.9530000000000003,47.354126,-123.17385
TX,Reeves County,3713,300243,271,29745,380,18365,109,2.9360000000000004,31.308365999999996,-103.71270600000001
NC,Lincoln County,28565,2088459,2070,125002,2908,216957,838,2.9339999999999997,35.488490999999996,-81.226892
TX,Montgomery County,181177,19602627,15896,1295890,21194,1792445,5298,2.924,30.298801,-95.50295
MT,Sweet Grass County,1339,79369,61,3180,100,4629,39,2.9130000000000003,45.811292,-109.944796
GA,Bryan County,11921,916911,1832,109897,2174,130675,342,2.8689999999999998,32.017969,-81.43854300000001
TX,Wise County,21307,1497342,1829,105513,2433,160097,604,2.835,33.219095,-97.653997
NC,Chatham County,26521,2565638,2051,146152,2801,289014,750,2.8280000000000003,35.704994,-79.25145400000001
SC,York County,91602,7200880,6320,378879,8907,658227,2587,2.824,34.970188,-81.183187
TX,Wood County,14368,862826,1177,55656,1582,84373,405,2.819,32.783588,-95.382166
TX,Waller County,14338,1002214,1624,87181,2028,144646,404,2.818,30.01359,-95.98214899999999
GA,Forsyth County,72597,8778654,6638,637957,8683,795579,2045,2.8169999999999997,34.225143,-84.127408
CO,Weld County,100674,7811951,8860,520398,11695,729652,2835,2.8160000000000003,40.555960999999996,-104.383666
SD,Clark County,1353,77377,53,2709,91,4706,38,2.8089999999999997,44.855211,-97.724912
TN,Montgomery County,63354,3491904,8890,389305,10659,448801,1769,2.792,36.500353999999994,-87.380887
TN,Marshall County,11524,630949,779,34410,1098,52821,319,2.7680000000000002,35.468343,-86.765865
TX,Irion County,542,58903,41,1968,56,2693,15,2.7680000000000002,31.303424,-100.98130400000001
OR,Lincoln County,17247,997450,1571,78133,2046,112013,475,2.7539999999999996,44.641061,-123.911212
FL,Polk County,229155,12424728,16582,708094,22888,1049764,6306,2.752,27.953649,-81.693534
CO,Bent County,1201,52524,70,2161,103,3635,33,2.748,37.931891,-103.077584
TN,Maury County,33569,2042068,2941,149879,3860,221548,919,2.738,35.615696,-87.077763
WA,Wahkiakum County,1474,88968,98,4293,138,7042,40,2.714,46.294638,-123.424458
OR,Curry County,8267,451318,709,40423,932,50851,223,2.697,42.466439,-124.21092900000001
FL,Marion County,125217,6481680,8384,355566,11747,599119,3363,2.6860000000000004,29.202804999999998,-82.0431
NC,Harnett County,37386,2048732,4916,231513,5920,275460,1004,2.685,35.368635,-78.87161
FL,Indian River County,59008,6043223,4170,254578,5750,707436,1580,2.678,27.700528000000002,-80.574789
TN,Cumberland County,21460,1118663,1285,55725,1857,112323,572,2.665,35.952397999999995,-84.994761
OK,Canadian County,46456,3571507,4260,246357,5495,310300,1235,2.658,35.543354,-97.979889
CO,Douglas County,115898,16401047,12989,1438525,16067,1541931,3078,2.656,39.325414,-104.925987
FL,Franklin County,3426,219195,209,16997,300,21491,91,2.656,29.810176000000002,-84.799174
GA,Pickens County,11270,765698,903,51304,1202,97985,299,2.653,34.456746,-84.490351
TX,Bastrop County,27477,1675113,2414,118449,3139,156229,725,2.639,30.100771999999996,-97.310639
ID,Oneida County,1403,70808,91,3030,128,6233,37,2.637,42.183895,-112.520449
FL,Washington County,6943,326528,650,22441,833,33024,183,2.636,30.602217,-85.662797
TX,Hudspeth County,1561,69513,194,8958,235,9444,41,2.627,31.450868,-105.377549
GA,Gilmer County,9589,522005,701,33098,952,53248,251,2.6180000000000003,34.690506,-84.454624
SC,McCormick County,3095,175602,205,10988,286,19527,81,2.617,33.897599,-82.31619599999999
TN,Wilson County,49158,3984963,4210,252522,5494,360420,1284,2.612,36.149527,-86.29124200000001
ID,Bonner County,15824,996399,1231,64085,1642,112893,411,2.597,48.316796000000004,-116.61236399999999
FL,St. Lucie County,111202,6173509,8916,413174,11797,704139,2881,2.591,27.379814,-80.443536
GA,Cherokee County,83406,7289210,7334,465692,9493,664321,2159,2.589,34.244316999999995,-84.47505699999999
FL,Manatee County,137026,10802578,11227,638817,14773,1252276,3546,2.588,27.481682,-82.368767
CO,Baca County,1205,39482,32,574,63,2354,31,2.573,37.309779999999996,-102.543741
FL,Sarasota County,163058,15473920,12770,806970,16961,1884404,4191,2.57,27.184386,-82.365835
OK,Marshall County,4718,239015,329,13186,449,20877,120,2.543,34.027007,-96.770533
ID,Kootenai County,58832,3885797,3857,188472,5349,377234,1492,2.536,47.675965999999995,-116.695922
TX,Hunt County,29303,1721204,2690,123296,3432,173862,742,2.532,33.123308,-96.08423
FL,Dixie County,3833,158828,281,9659,378,13557,97,2.531,29.580899,-83.195666
OK,Pushmataha County,3123,138530,195,7085,274,10383,79,2.53,34.377899,-95.408082
VT,Grand Isle County,3046,244679,266,17800,343,27194,77,2.528,44.801787,-73.300759
WA,Klickitat County,7879,591239,581,33045,780,55678,199,2.526,45.870446,-120.77930500000001
VA,Richmond County,2776,154696,192,7054,262,12344,70,2.522,37.942894,-76.730561
WV,Berkeley County,42602,2536510,2930,143221,4004,199336,1074,2.521,39.447938,-78.037754
MO,Lincoln County,19947,1212458,1382,66163,1883,95398,501,2.512,39.062255,-90.962916
KY,Robertson County,678,29942,36,1439,53,1988,17,2.5069999999999997,38.513473,-84.06423000000001
WI,Adams County,7462,373705,571,23087,758,39089,187,2.506,43.973757,-89.767228
TX,Sabine County,3252,180782,237,11268,318,19903,81,2.491,31.3433,-93.851913
MT,Ravalli County,15765,968671,1123,57236,1514,107821,391,2.48,46.077744,-114.105795
ID,Ada County,165117,13939220,11418,631146,15509,1088360,4091,2.478,43.451477000000004,-116.244376
TX,Chambers County,13614,1245940,1331,85244,1668,128359,337,2.475,29.696374,-94.669445
WA,Clallam County,28802,1839111,1705,90228,2417,176996,712,2.472,48.110903,-123.88986000000001
OK,Ellis County,1295,76847,56,2502,88,4006,32,2.471,36.224258,-99.750139
ID,Custer County,1504,73017,118,5268,155,9675,37,2.46,44.273351,-114.25226699999999
TX,Hays County,66538,5433993,8172,415538,9807,710893,1635,2.457,30.061225,-98.029267
KY,Shelby County,15920,1238951,1262,70155,1653,115321,391,2.456,38.239011,-85.228247
TX,Burnet County,16667,1336803,1490,96789,1898,162765,408,2.448,30.78963,-98.201187
NC,Macon County,12404,711688,729,34349,1031,62540,302,2.435,35.152959,-83.421901
AR,Benton County,87242,13820588,7237,511876,9356,571782,2119,2.4290000000000003,36.337819,-94.256298
MI,Crawford County,4763,224859,339,12439,454,21241,115,2.414,44.680175,-84.611343
NC,Cabarrus County,69266,5251563,6378,370437,8033,450293,1655,2.3890000000000002,35.388346000000006,-80.552728
AZ,La Paz County,4905,201858,487,19477,604,27028,117,2.385,33.72761,-114.03880600000001
TX,Collin County,321347,38127439,33175,2801762,40818,3422375,7643,2.378,33.194532,-96.579444
GA,Harris County,10892,870382,929,57762,1187,108736,258,2.369,32.731549,-84.912432
TN,Fayette County,14830,1197950,1192,77378,1543,125710,351,2.367,35.196993,-89.413803
UT,Tooele County,20299,1379198,1946,103625,2425,127520,479,2.36,40.467753,-113.123979
SC,Spartanburg County,104846,6599512,5592,275442,8065,402817,2473,2.359,34.933271000000005,-81.991052
TX,Montague County,6414,375967,486,20500,636,38370,150,2.339,33.678356,-97.725014
SC,Berkeley County,69825,4641640,8591,463164,10206,622780,1615,2.313,33.2077,-79.953655
TN,Williamson County,76424,12242435,7311,788870,9068,1159148,1757,2.299,35.894807,-86.89806800000001
NC,Yancey County,5968,291333,287,10895,424,21493,137,2.296,35.889326000000004,-82.303954
TX,Foard County,393,18187,21,750,30,1346,9,2.29,33.963306,-99.816828
GA,Echols County,962,40301,55,1807,77,2659,22,2.287,30.714008000000003,-82.897376
NV,Lincoln County,1313,77372,78,3613,108,5967,30,2.285,37.634605,-114.863037
GA,Rabun County,5693,326324,380,23856,510,48666,130,2.2840000000000003,34.883934,-83.40486999999999
WA,Island County,31547,2472699,3691,221091,4411,277615,720,2.282,48.158553999999995,-122.670649
GA,Oconee County,12714,1537203,1117,85851,1407,129153,290,2.281,33.834125,-83.437728
MI,Alcona County,3917,188310,272,10487,361,18352,89,2.272,44.682534999999994,-82.834078
TX,Johnson County,55426,3682538,4940,264766,6198,341215,1258,2.27,32.379821,-97.364959
NC,Moore County,34245,2697934,2714,170905,3490,277716,776,2.266,35.308271999999995,-79.492725
MO,Warren County,12108,764850,984,45967,1258,65043,274,2.263,38.761902,-91.159306
TN,Loudon County,19256,1461031,1556,90480,1991,164479,435,2.259,35.735085,-84.31408499999999
TX,Coke County,1064,59161,81,4025,105,6037,24,2.256,31.87711,-100.635231
KS,Decatur County,1110,45410,39,1869,64,2181,25,2.252,39.783542,-100.45970799999999
WA,Skamania County,3841,315123,338,19096,424,31797,86,2.239,46.024784999999994,-121.953232
WA,Lewis County,27172,1605862,1792,74936,2399,123830,607,2.234,46.580071000000004,-122.377444
TX,Guadalupe County,54308,3777542,6078,348333,7282,446349,1204,2.217,29.583532,-97.946771
WA,Grays Harbor County,23895,1353427,1514,72616,2041,115040,527,2.205,47.113732,-123.82673500000001
MT,Jefferson County,4268,319877,373,20265,467,34891,94,2.202,46.124232,-112.059428
NC,Pender County,18454,1160332,1740,80447,2146,131305,406,2.2,34.512556,-77.88810600000001
MO,Benton County,6325,274766,497,16432,636,30900,139,2.198,38.301035999999996,-93.287942
GA,Walton County,29177,1925175,2615,147598,3256,177794,641,2.197,33.783887,-83.731829
TN,Overton County,7063,324924,455,16473,609,27879,154,2.18,36.34485,-85.283076
ID,Payette County,7587,507521,707,28344,871,41816,164,2.162,44.00243,-116.75023799999998
OR,Linn County,42579,2530422,3159,139757,4078,203202,919,2.158,44.488898,-122.537208
MT,Deer Lodge County,3247,175351,234,9570,304,13054,70,2.156,46.094671999999996,-113.141624
TX,Grimes County,8616,484598,705,31756,890,47155,185,2.147,30.543231,-95.98808199999999
TN,Grainger County,7179,345239,508,18952,662,29360,154,2.145,36.277509,-83.509546
TX,Winkler County,2285,295701,208,14632,257,11938,49,2.144,31.832862,-103.054925
NC,Clay County,3591,185385,289,10913,366,19562,77,2.144,35.052997,-83.752264
TN,Jackson County,3501,148919,274,8914,349,13808,75,2.142,36.35425,-85.674128
VA,King William County,6445,423071,472,24411,609,31652,137,2.126,37.708259999999996,-77.091054
VA,Frederick County,32111,2427790,2551,143722,3233,206752,682,2.124,39.20366,-78.263829
NV,Douglas County,20595,1957553,1726,126105,2163,210424,437,2.122,38.905128999999995,-119.60901899999999
OH,Delaware County,71895,9210488,5954,556882,7478,659295,1524,2.12,40.278940999999996,-83.007462
TX,Hill County,11348,610192,950,38247,1190,58017,240,2.115,31.982681,-97.130668
TN,Meigs County,3832,197357,379,15708,460,21162,81,2.114,35.512203,-84.816102
OR,Coos County,21669,1256702,1416,69852,1874,89355,458,2.114,43.18591,-124.09413300000001
TN,Union County,5773,271476,478,17383,600,26387,122,2.113,36.28414,-83.836088
TX,Ector County,50906,3563188,3812,239694,4886,251450,1074,2.11,31.865301000000002,-102.542507
GA,Hart County,8029,425370,537,23888,706,40150,169,2.105,34.348733,-82.96329
MI,Kalkaska County,6441,314483,492,20777,627,28225,135,2.096,44.678881,-85.088992
TN,Bledsoe County,3544,161788,242,9058,316,13119,74,2.088,35.593561,-85.20591
FL,Levy County,12981,579315,1183,45063,1453,58281,270,2.08,29.284457,-82.783462
NC,Currituck County,9171,607091,838,43477,1028,63975,190,2.072,36.372174,-75.941224
TX,Fannin County,10473,605206,853,41506,1068,55672,215,2.053,33.591161,-96.104988
CO,Fremont County,14134,760201,1098,47580,1388,67811,290,2.052,38.45517,-105.424958
ID,Shoshone County,4164,193335,305,12430,390,16222,85,2.041,47.347694,-115.88509199999999
AZ,Navajo County,30364,1433215,2405,106421,3024,141791,619,2.039,35.390785,-110.321025
FL,Lee County,267184,21814777,18787,1213264,24236,2365945,5449,2.039,26.559034999999998,-81.891994
NC,Alamance County,56556,3367906,3558,164456,4709,226472,1151,2.035,36.043954,-79.400573
GA,White County,8672,478255,750,29515,926,48303,176,2.03,34.643776,-83.74341700000001
TX,Real County,1184,58578,89,3913,113,5603,24,2.0269999999999997,29.830097,-99.812549
OR,Tillamook County,9570,606683,701,31575,894,51203,193,2.017,45.455890000000004,-123.759299
NY,Hamilton County,2082,124074,122,5573,164,9967,42,2.017,43.657879,-74.50245600000001
AR,Marion County,5007,208624,432,16875,533,25242,101,2.017,36.266664,-92.678577
KY,Scott County,18422,1328706,1644,86989,2013,129611,369,2.003,38.285709999999995,-84.57834
TN,Jefferson County,17161,925809,1567,63162,1910,91965,343,1.999,36.048338,-83.44114300000001
NC,Haywood County,22190,1192514,1353,61229,1795,100207,442,1.992,35.558882000000004,-82.981307
TN,Sumner County,64493,5106223,5401,299666,6681,396465,1280,1.985,36.473442999999996,-86.45979799999999
KS,Clark County,707,39248,33,1881,47,2490,14,1.98,37.233831,-99.813869
CA,Sierra County,960,55257,70,3791,89,5479,19,1.979,39.576925,-120.521993
TN,Perry County,2480,126614,108,3357,157,6600,49,1.976,35.663752,-87.869326
AR,Perry County,2997,156384,193,7327,252,10356,59,1.969,34.946363,-92.926877
GA,Talbot County,1982,84733,140,5462,179,6297,39,1.9680000000000002,32.704603000000006,-84.530029
IN,Hancock County,28337,2210812,2360,142147,2917,172937,557,1.966,39.822528999999996,-85.77315
GA,Newton County,34094,1772375,3540,147967,4209,165395,669,1.962,33.544041,-83.855184
GA,Charlton County,2659,124673,203,6681,255,9609,52,1.956,30.779904,-82.13964399999999
KY,Simpson County,6356,329602,461,17344,585,20412,124,1.9509999999999998,36.740937,-86.581793
NC,Hoke County,14378,675818,2287,101557,2567,103372,280,1.9469999999999998,35.017233000000004,-79.241964
GA,Columbia County,47302,4115242,5099,331699,6020,372163,921,1.9469999999999998,33.547631,-82.252296
KS,Cheyenne County,977,40659,25,1433,44,1774,19,1.945,39.789916999999996,-101.727325
WA,Lincoln County,3650,230728,255,11307,326,17339,71,1.945,47.582743,-118.41769199999999
TX,Hamilton County,2729,192170,227,10830,280,12606,53,1.942,31.707341999999997,-98.111756
TX,Denton County,274749,28174824,30734,2281370,36068,2711365,5334,1.9409999999999998,33.205132,-97.12114
TX,Midland County,55303,8083422,5550,548096,6623,580266,1073,1.94,31.814269,-102.002454
TX,Henderson County,25311,1399681,2156,92303,2645,148778,489,1.932,32.211633,-95.853418
VA,Nelson County,5858,396681,330,20937,443,31269,113,1.929,37.789079,-78.88344000000001
OR,Columbia County,18175,1243566,1276,70088,1626,87082,350,1.926,45.941932,-123.081079
TN,Benton County,5249,243342,292,10843,393,14410,101,1.9240000000000002,36.070948,-88.071232
WI,Marquette County,6188,321174,449,16037,568,28527,119,1.923,43.826053,-89.409095
CO,Washington County,1511,75568,75,3256,104,3863,29,1.919,39.965790000000005,-103.209744
MO,Christian County,28261,1918834,2819,159229,3361,194223,542,1.9180000000000001,36.969739000000004,-93.187614
WA,Cowlitz County,37276,2397427,2567,127460,3282,176755,715,1.9180000000000001,46.196785,-122.67846000000002
VA,Westmoreland County,6622,385728,557,30260,684,47327,127,1.9180000000000001,38.109311,-76.803933
FL,Highlands County,32767,1503479,2539,97897,3167,139563,628,1.9169999999999998,27.341079999999998,-81.342353
NV,Clark County,796439,57282761,38284,2175811,53538,3777011,15254,1.915,36.214257,-115.01381200000002
ID,Jefferson County,8202,498217,795,40006,951,55123,156,1.902,43.796965,-112.31858799999999
MT,Sanders County,3944,178351,288,12109,363,19335,75,1.902,47.756496999999996,-115.180306
TX,Lynn County,1846,110279,135,5526,170,12307,35,1.896,33.178412,-101.818493
MN,Cass County,11027,655216,889,45549,1098,73490,209,1.895,46.951745,-94.33370500000001
TX,Concho County,740,33282,81,3468,95,6981,14,1.892,31.318883000000003,-99.863649
IN,Hamilton County,115104,15313766,9773,836451,11945,1018223,2172,1.8869999999999998,40.053507,-86.021713
MT,Lincoln County,6468,312603,449,19442,571,29008,122,1.886,48.552385,-115.46318500000001
TX,Burleson County,6173,380228,423,18504,539,28589,116,1.879,30.493487,-96.622091
GA,Morgan County,6401,452406,455,27849,575,37985,120,1.875,33.598696000000004,-83.49943499999999
TN,Hickman County,7418,361856,591,22046,730,28407,139,1.874,35.802327000000005,-87.467116
NC,Ashe County,9059,459899,420,20217,589,31975,169,1.8659999999999999,36.443469,-81.49933399999999
WA,Thurston County,105491,7898212,9194,518352,11152,619428,1958,1.8559999999999999,46.935821999999995,-122.830152
OK,Dewey County,1563,121172,111,6624,140,6178,29,1.855,35.977959999999996,-99.014385
NC,Union County,73743,7189462,5304,417851,6665,657435,1361,1.8459999999999999,34.991820000000004,-80.530426
WA,Stevens County,14607,873343,1145,54498,1414,79971,269,1.8419999999999999,48.388727,-117.854454
TX,Culberson County,761,34864,53,2141,67,3150,14,1.84,31.445908000000003,-104.526945
GA,Henry County,73572,4651381,8198,401287,9552,411315,1354,1.84,33.452946999999995,-84.154021
CO,Elbert County,8920,987976,987,71000,1151,95840,164,1.839,39.315157,-104.114076
NC,Camden County,3484,235011,305,16831,369,17993,64,1.837,36.342344,-76.162488
OR,Jefferson County,7305,371087,619,24601,753,36410,134,1.834,44.645151,-121.17863200000001
FL,Volusia County,196530,11358882,13728,623525,17323,991763,3595,1.829,29.057769,-81.161792
TX,Grayson County,44243,2883191,3100,158430,3906,226436,806,1.8219999999999998,33.624524,-96.67569300000001
TX,Bosque County,5926,344886,498,27785,606,29238,108,1.8219999999999998,31.900819,-97.637641
KS,Lane County,660,28969,28,1268,40,1423,12,1.818,38.481286,-100.466185
SC,Oconee County,26050,1735489,1513,91590,1984,149189,471,1.808,34.748765999999996,-83.06154000000001
VA,Middlesex County,4094,274067,256,13445,330,20703,74,1.808,37.606975,-76.528082
