County,State,Year,Force,Employed,Unemployed,(%)
Yakutat Borough/city,AK,2018,245,225,20,8.2
Yukon-Koyukuk Census Area,AK,2018,"2,545","2,156",389,15.3
Apache County,AZ,2018,"20,665","18,585","2,080",10.1
Cochise County,AZ,2018,"49,774","46,985","2,789",5.6
Coconino County,AZ,2018,"77,083","72,850","4,233",5.5
Gila County,AZ,2018,"21,518","20,251","1,267",5.9
Graham County,AZ,2018,"14,878","14,114",764,5.1
Greenlee County,AZ,2018,"4,280","4,098",182,4.3
La Paz County,AZ,2018,"8,938","8,381",557,6.2
Maricopa County,AZ,2018,"2,229,526","2,137,219","92,307",4.1
Mohave County,AZ,2018,"85,442","80,508","4,934",5.8
Navajo County,AZ,2018,"40,598","37,447","3,151",7.8
Pima County,AZ,2018,"486,261","464,433","21,828",4.5
Pinal County,AZ,2018,"178,216","169,264","8,952",5
Santa Cruz County,AZ,2018,"19,325","17,522","1,803",9.3
Yavapai County,AZ,2018,"105,618","100,899","4,719",4.5
Yuma County,AZ,2018,"97,636","80,997","16,639",17
Arkansas County,AR,2018,"9,070","8,762",308,3.4
Ashley County,AR,2018,"7,683","7,263",420,5.5
Baxter County,AR,2018,"16,463","15,785",678,4.1
Benton County,AR,2018,"134,404","130,532","3,872",2.9
Boone County,AR,2018,"15,856","15,295",561,3.5
Bradley County,AR,2018,"4,362","4,166",196,4.5
Calhoun County,AR,2018,"2,404","2,310",94,3.9
Carroll County,AR,2018,"12,639","12,233",406,3.2
Chicot County,AR,2018,"3,340","3,110",230,6.9
Clark County,AR,2018,"9,580","9,214",366,3.8
Clay County,AR,2018,"5,835","5,579",256,4.4
Cleburne County,AR,2018,"9,174","8,758",416,4.5
Cleveland County,AR,2018,"3,302","3,173",129,3.9
Columbia County,AR,2018,"8,991","8,562",429,4.8
Conway County,AR,2018,"8,198","7,840",358,4.4
Craighead County,AR,2018,"54,120","52,462","1,658",3.1
Crawford County,AR,2018,"26,861","25,899",962,3.6
Crittenden County,AR,2018,"21,467","20,542",925,4.3
Cross County,AR,2018,"7,441","7,131",310,4.2
Dallas County,AR,2018,"2,811","2,687",124,4.4
Desha County,AR,2018,"5,443","5,196",247,4.5
Drew County,AR,2018,"7,757","7,369",388,5
Faulkner County,AR,2018,"61,476","59,460","2,016",3.3
Franklin County,AR,2018,"7,406","7,140",266,3.6
Fulton County,AR,2018,"4,805","4,613",192,4
Garland County,AR,2018,"40,797","39,146","1,651",4
Grant County,AR,2018,"8,321","8,062",259,3.1
Greene County,AR,2018,"19,755","19,064",691,3.5
Hempstead County,AR,2018,"9,908","9,555",353,3.6
Hot Spring County,AR,2018,"13,993","13,466",527,3.8
Howard County,AR,2018,"5,922","5,717",205,3.5
Independence County,AR,2018,"16,222","15,560",662,4.1
Izard County,AR,2018,"4,869","4,599",270,5.5
Jackson County,AR,2018,"5,786","5,430",356,6.2
Jefferson County,AR,2018,"28,066","26,582","1,484",5.3
Johnson County,AR,2018,"10,445","9,972",473,4.5
Lafayette County,AR,2018,"2,497","2,366",131,5.2
Lawrence County,AR,2018,"6,858","6,589",269,3.9
Lee County,AR,2018,"2,917","2,776",141,4.8
Lincoln County,AR,2018,"4,041","3,867",174,4.3
Little River County,AR,2018,"5,485","5,196",289,5.3
Logan County,AR,2018,"8,749","8,396",353,4
Lonoke County,AR,2018,"33,853","32,766","1,087",3.2
Madison County,AR,2018,"7,426","7,213",213,2.9
Marion County,AR,2018,"6,506","6,237",269,4.1
Miller County,AR,2018,"19,722","18,772",950,4.8
Mississippi County,AR,2018,"17,510","16,515",995,5.7
Monroe County,AR,2018,"2,746","2,627",119,4.3
Montgomery County,AR,2018,"3,036","2,890",146,4.8
Nevada County,AR,2018,"3,613","3,485",128,3.5
Newton County,AR,2018,"3,312","3,200",112,3.4
Ouachita County,AR,2018,"9,755","9,301",454,4.7
Perry County,AR,2018,"4,248","4,071",177,4.2
Phillips County,AR,2018,"6,608","6,202",406,6.1
Pike County,AR,2018,"4,255","4,078",177,4.2
Poinsett County,AR,2018,"10,269","9,874",395,3.8
Polk County,AR,2018,"8,003","7,670",333,4.2
Pope County,AR,2018,"28,998","27,702","1,296",4.5
Prairie County,AR,2018,"3,568","3,429",139,3.9
Pulaski County,AR,2018,"189,210","182,612","6,598",3.5
Randolph County,AR,2018,"7,175","6,890",285,4
St. Francis County,AR,2018,"8,320","7,891",429,5.2
Saline County,AR,2018,"57,716","55,923","1,793",3.1
Scott County,AR,2018,"4,380","4,219",161,3.7
Searcy County,AR,2018,"2,957","2,829",128,4.3
Sebastian County,AR,2018,"57,075","55,032","2,043",3.6
Sevier County,AR,2018,"5,549","5,290",259,4.7
Sharp County,AR,2018,"5,798","5,522",276,4.8
Stone County,AR,2018,"4,801","4,583",218,4.5
Union County,AR,2018,"15,960","15,074",886,5.6
Van Buren County,AR,2018,"5,921","5,610",311,5.3
Washington County,AR,2018,"122,569","119,378","3,191",2.6
White County,AR,2018,"33,786","32,308","1,478",4.4
Woodruff County,AR,2018,"2,829","2,695",134,4.7
Yell County,AR,2018,"8,505","8,148",357,4.2
Alameda County,CA,2018,"848,215","822,769","25,446",3
Alpine County,CA,2018,547,522,25,4.6
Amador County,CA,2018,"14,706","14,117",589,4
Butte County,CA,2018,"102,712","97,619","5,093",5
Calaveras County,CA,2018,"21,351","20,506",845,4
Colusa County,CA,2018,"10,969","9,551","1,418",12.9
Contra Costa County,CA,2018,"564,570","546,778","17,792",3.2
Del Norte County,CA,2018,"9,961","9,412",549,5.5
El Dorado County,CA,2018,"91,589","88,319","3,270",3.6
Fresno County,CA,2018,"448,353","414,926","33,427",7.5
Glenn County,CA,2018,"12,779","11,944",835,6.5
Humboldt County,CA,2018,"63,027","60,782","2,245",3.6
Imperial County,CA,2018,"71,055","58,200","12,855",18.1
Inyo County,CA,2018,"8,725","8,388",337,3.9
Kern County,CA,2018,"386,997","356,132","30,865",8
Kings County,CA,2018,"57,865","53,384","4,481",7.7
Lake County,CA,2018,"29,116","27,594","1,522",5.2
Lassen County,CA,2018,"9,899","9,425",474,4.8
Los Angeles County,CA,2018,"5,136,341","4,896,512","239,829",4.7
Madera County,CA,2018,"61,528","57,212","4,316",7
Marin County,CA,2018,"141,111","137,748","3,363",2.4
Mariposa County,CA,2018,"7,663","7,257",406,5.3
Mendocino County,CA,2018,"39,715","38,151","1,564",3.9
Merced County,CA,2018,"115,408","105,834","9,574",8.3
Modoc County,CA,2018,"3,179","2,939",240,7.5
Mono County,CA,2018,"8,524","8,196",328,3.8
Monterey County,CA,2018,"224,057","210,010","14,047",6.3
Napa County,CA,2018,"74,547","72,366","2,181",2.9
Nevada County,CA,2018,"48,870","47,176","1,694",3.5
Orange County,CA,2018,"1,625,426","1,577,885","47,541",2.9
Placer County,CA,2018,"185,213","179,376","5,837",3.2
Plumas County,CA,2018,"7,848","7,260",588,7.5
Riverside County,CA,2018,"1,092,371","1,044,563","47,808",4.4
Sacramento County,CA,2018,"710,442","683,494","26,948",3.8
San Benito County,CA,2018,"30,869","29,308","1,561",5.1
San Bernardino County,CA,2018,"961,030","922,251","38,779",4
San Diego County,CA,2018,"1,592,193","1,539,530","52,663",3.3
San Francisco County/city,CA,2018,"575,567","562,022","13,545",2.4
San Joaquin County,CA,2018,"326,387","306,816","19,571",6
San Luis Obispo County,CA,2018,"140,920","136,769","4,151",2.9
San Mateo County,CA,2018,"454,875","444,868","10,007",2.2
Santa Barbara County,CA,2018,"216,698","208,261","8,437",3.9
Santa Clara County,CA,2018,"1,048,804","1,021,522","27,282",2.6
Santa Cruz County,CA,2018,"142,618","135,634","6,984",4.9
Shasta County,CA,2018,"74,215","70,546","3,669",4.9
Sierra County,CA,2018,"1,278","1,201",77,6
Siskiyou County,CA,2018,"17,410","16,244","1,166",6.7
Solano County,CA,2018,"209,721","201,553","8,168",3.9
Sonoma County,CA,2018,"262,348","255,161","7,187",2.7
Stanislaus County,CA,2018,"243,538","227,940","15,598",6.4
Sutter County,CA,2018,"45,477","42,085","3,392",7.5
Tehama County,CA,2018,"25,626","24,176","1,450",5.7
Trinity County,CA,2018,"4,707","4,439",268,5.7
Tulare County,CA,2018,"204,589","184,940","19,649",9.6
Tuolumne County,CA,2018,"21,339","20,357",982,4.6
Ventura County,CA,2018,"425,728","409,662","16,066",3.8
Yolo County,CA,2018,"108,518","103,956","4,562",4.2
Yuba County,CA,2018,"29,078","27,215","1,863",6.4
Adams County,CO,2018,"269,911","260,542","9,369",3.5
Alamosa County,CO,2018,"8,447","8,095",352,4.2
Arapahoe County,CO,2018,"362,692","351,003","11,689",3.2
Archuleta County,CO,2018,"6,928","6,692",236,3.4
Baca County,CO,2018,"2,229","2,188",41,1.8
Bent County,CO,2018,"2,017","1,953",64,3.2
Boulder County,CO,2018,"193,822","188,303","5,519",2.8
Broomfield County/city,CO,2018,"39,816","38,651","1,165",2.9
Chaffee County,CO,2018,"9,708","9,447",261,2.7
Cheyenne County,CO,2018,"1,166","1,145",21,1.8
Clear Creek County,CO,2018,"6,075","5,891",184,3
Conejos County,CO,2018,"4,080","3,901",179,4.4
Costilla County,CO,2018,"1,910","1,828",82,4.3
Crowley County,CO,2018,"1,533","1,466",67,4.4
Custer County,CO,2018,"2,106","2,029",77,3.7
Delta County,CO,2018,"14,851","14,266",585,3.9
Denver County/city,CO,2018,"412,817","399,671","13,146",3.2
Dolores County,CO,2018,"1,197","1,163",34,2.8
Douglas County,CO,2018,"191,240","185,768","5,472",2.9
Eagle County,CO,2018,"36,207","35,218",989,2.7
Elbert County,CO,2018,"14,963","14,538",425,2.8
El Paso County,CO,2018,"337,084","323,816","13,268",3.9
Fremont County,CO,2018,"15,342","14,544",798,5.2
Garfield County,CO,2018,"32,479","31,436","1,043",3.2
Gilpin County,CO,2018,"3,731","3,636",95,2.5
Grand County,CO,2018,"9,917","9,651",266,2.7
Gunnison County,CO,2018,"11,012","10,727",285,2.6
Hinsdale County,CO,2018,459,447,12,2.6
Huerfano County,CO,2018,"2,619","2,448",171,6.5
Jackson County,CO,2018,"1,029","1,002",27,2.6
Jefferson County,CO,2018,"334,242","324,124","10,118",3
Kiowa County,CO,2018,963,946,17,1.8
Kit Carson County,CO,2018,"4,487","4,396",91,2
Lake County,CO,2018,"4,894","4,765",129,2.6
La Plata County,CO,2018,"32,091","31,120",971,3
Larimer County,CO,2018,"202,449","196,754","5,695",2.8
Las Animas County,CO,2018,"6,572","6,261",311,4.7
Lincoln County,CO,2018,"2,494","2,433",61,2.4
Logan County,CO,2018,"11,287","10,958",329,2.9
Mesa County,CO,2018,"76,060","72,949","3,111",4.1
Mineral County,CO,2018,507,494,13,2.6
Moffat County,CO,2018,"7,579","7,302",277,3.7
Montezuma County,CO,2018,"13,338","12,706",632,4.7
Montrose County,CO,2018,"21,941","21,136",805,3.7
Morgan County,CO,2018,"16,473","15,990",483,2.9
Otero County,CO,2018,"8,635","8,205",430,5
Ouray County,CO,2018,"2,400","2,316",84,3.5
Park County,CO,2018,"10,859","10,545",314,2.9
Phillips County,CO,2018,"2,693","2,642",51,1.9
Pitkin County,CO,2018,"11,363","10,926",437,3.8
Prowers County,CO,2018,"6,387","6,175",212,3.3
Pueblo County,CO,2018,"75,912","72,186","3,726",4.9
Rio Blanco County,CO,2018,"2,854","2,727",127,4.4
Rio Grande County,CO,2018,"5,643","5,370",273,4.8
Routt County,CO,2018,"16,301","15,861",440,2.7
Saguache County,CO,2018,"3,638","3,469",169,4.6
San Juan County,CO,2018,519,503,16,3.1
San Miguel County,CO,2018,"5,520","5,326",194,3.5
Sedgwick County,CO,2018,"1,253","1,221",32,2.6
Summit County,CO,2018,"22,315","21,819",496,2.2
Teller County,CO,2018,"12,651","12,182",469,3.7
Washington County,CO,2018,"3,225","3,147",78,2.4
Weld County,CO,2018,"165,290","160,320","4,970",3
Yuma County,CO,2018,"6,142","6,017",125,2
Fairfield County,CT,2018,"480,767","461,750","19,017",4
Hartford County,CT,2018,"480,319","459,939","20,380",4.2
Litchfield County,CT,2018,"105,014","101,000","4,014",3.8
Middlesex County,CT,2018,"93,078","89,811","3,267",3.5
New Haven County,CT,2018,"458,747","438,576","20,171",4.4
New London County,CT,2018,"137,463","132,032","5,431",4
Tolland County,CT,2018,"86,499","83,402","3,097",3.6
Windham County,CT,2018,"63,426","60,560","2,866",4.5
Kent County,DE,2018,"78,124","74,885","3,239",4.1
New Castle County,DE,2018,"298,915","287,977","10,938",3.7
Sussex County,DE,2018,"105,426","101,475","3,951",3.7
Alachua County,FL,2018,"137,339","132,846","4,493",3.3
Baker County,FL,2018,"11,869","11,467",402,3.4
Bay County,FL,2018,"89,251","85,703","3,548",4
Bradford County,FL,2018,"11,304","10,933",371,3.3
Brevard County,FL,2018,"276,558","266,812","9,746",3.5
Broward County,FL,2018,"1,036,212","1,001,293","34,919",3.4
Calhoun County,FL,2018,"5,082","4,873",209,4.1
Charlotte County,FL,2018,"70,953","68,108","2,845",4
Citrus County,FL,2018,"47,799","45,314","2,485",5.2
Clay County,FL,2018,"106,276","102,789","3,487",3.3
Collier County,FL,2018,"177,351","171,255","6,096",3.4
Columbia County,FL,2018,"29,540","28,434","1,106",3.7
DeSoto County,FL,2018,"13,955","13,419",536,3.8
Dixie County,FL,2018,"5,773","5,529",244,4.2
Duval County,FL,2018,"487,844","470,411","17,433",3.6
Escambia County,FL,2018,"145,298","140,151","5,147",3.5
Flagler County,FL,2018,"47,077","45,173","1,904",4
Franklin County,FL,2018,"4,840","4,673",167,3.5
Gadsden County,FL,2018,"18,500","17,654",846,4.6
Gilchrist County,FL,2018,"6,869","6,611",258,3.8
Glades County,FL,2018,"5,206","4,998",208,4
Gulf County,FL,2018,"6,122","5,852",270,4.4
Hamilton County,FL,2018,"4,296","4,114",182,4.2
Hardee County,FL,2018,"8,789","8,322",467,5.3
Hendry County,FL,2018,"15,599","14,652",947,6.1
Hernando County,FL,2018,"70,465","67,280","3,185",4.5
Highlands County,FL,2018,"36,472","34,716","1,756",4.8
Hillsborough County,FL,2018,"735,690","710,804","24,886",3.4
Holmes County,FL,2018,"6,983","6,706",277,4
Indian River County,FL,2018,"65,104","62,318","2,786",4.3
Jackson County,FL,2018,"17,542","16,846",696,4
Jefferson County,FL,2018,"5,582","5,373",209,3.7
Lafayette County,FL,2018,"2,847","2,756",91,3.2
Lake County,FL,2018,"155,273","149,818","5,455",3.5
Lee County,FL,2018,"342,684","331,050","11,634",3.4
Leon County,FL,2018,"154,655","149,478","5,177",3.3
Levy County,FL,2018,"16,926","16,277",649,3.8
Liberty County,FL,2018,"2,643","2,543",100,3.8
Madison County,FL,2018,"7,348","7,062",286,3.9
Manatee County,FL,2018,"177,777","171,752","6,025",3.4
Marion County,FL,2018,"135,746","129,921","5,825",4.3
Martin County,FL,2018,"74,159","71,563","2,596",3.5
Miami-Dade County,FL,2018,"1,383,302","1,330,023","53,279",3.9
Monroe County,FL,2018,"45,307","44,120","1,187",2.6
Nassau County,FL,2018,"39,910","38,629","1,281",3.2
Okaloosa County,FL,2018,"96,270","93,435","2,835",2.9
Okeechobee County,FL,2018,"17,697","17,037",660,3.7
Orange County,FL,2018,"750,160","726,303","23,857",3.2
Osceola County,FL,2018,"177,919","171,463","6,456",3.6
Palm Beach County,FL,2018,"731,004","704,955","26,049",3.6
Pasco County,FL,2018,"231,983","223,077","8,906",3.8
Pinellas County,FL,2018,"492,704","476,541","16,163",3.3
Polk County,FL,2018,"298,759","286,603","12,156",4.1
Putnam County,FL,2018,"27,097","25,794","1,303",4.8
St. Johns County,FL,2018,"127,595","123,928","3,667",2.9
St. Lucie County,FL,2018,"142,635","136,390","6,245",4.4
Santa Rosa County,FL,2018,"80,654","77,976","2,678",3.3
Sarasota County,FL,2018,"188,038","181,707","6,331",3.4
Seminole County,FL,2018,"254,438","246,363","8,075",3.2
Sumter County,FL,2018,"31,241","29,649","1,592",5.1
Suwannee County,FL,2018,"18,286","17,608",678,3.7
Taylor County,FL,2018,"8,735","8,399",336,3.8
Union County,FL,2018,"4,670","4,511",159,3.4
Volusia County,FL,2018,"253,439","243,967","9,472",3.7
Wakulla County,FL,2018,"14,767","14,307",460,3.1
Walton County,FL,2018,"30,644","29,698",946,3.1
Washington County,FL,2018,"9,920","9,541",379,3.8
Appling County,GA,2018,"9,044","8,651",393,4.3
Atkinson County,GA,2018,"4,358","4,204",154,3.5
Bacon County,GA,2018,"5,057","4,864",193,3.8
Baker County,GA,2018,"1,217","1,155",62,5.1
Baldwin County,GA,2018,"17,286","16,415",871,5
Banks County,GA,2018,"9,538","9,241",297,3.1
Barrow County,GA,2018,"39,665","38,362","1,303",3.3
Bartow County,GA,2018,"50,113","48,219","1,894",3.8
Ben Hill County,GA,2018,"5,508","5,184",324,5.9
Berrien County,GA,2018,"7,477","7,166",311,4.2
Bibb County,GA,2018,"69,212","66,083","3,129",4.5
Bleckley County,GA,2018,"4,660","4,394",266,5.7
Brantley County,GA,2018,"7,351","7,022",329,4.5
Brooks County,GA,2018,"7,044","6,767",277,3.9
Bryan County,GA,2018,"17,868","17,260",608,3.4
Bulloch County,GA,2018,"37,503","35,935","1,568",4.2
Burke County,GA,2018,"9,367","8,805",562,6
Butts County,GA,2018,"10,744","10,310",434,4
Calhoun County,GA,2018,"2,256","2,160",96,4.3
Camden County,GA,2018,"20,982","20,110",872,4.2
Candler County,GA,2018,"5,358","5,174",184,3.4
Carroll County,GA,2018,"55,383","53,163","2,220",4
Catoosa County,GA,2018,"33,156","32,022","1,134",3.4
Charlton County,GA,2018,"4,805","4,599",206,4.3
Chatham County,GA,2018,"140,971","135,719","5,252",3.7
Chattahoochee County,GA,2018,"1,988","1,877",111,5.6
Chattooga County,GA,2018,"10,487","10,058",429,4.1
Cherokee County,GA,2018,"132,799","128,664","4,135",3.1
Clarke County,GA,2018,"61,475","59,045","2,430",4
Clay County,GA,2018,858,792,66,7.7
Clayton County,GA,2018,"136,502","129,814","6,688",4.9
Clinch County,GA,2018,"2,766","2,640",126,4.6
Cobb County,GA,2018,"426,279","411,814","14,465",3.4
Coffee County,GA,2018,"18,709","17,864",845,4.5
Colquitt County,GA,2018,"21,551","20,740",811,3.8
Columbia County,GA,2018,"74,950","72,341","2,609",3.5
Cook County,GA,2018,"7,886","7,588",298,3.8
Coweta County,GA,2018,"73,505","70,987","2,518",3.4
Crawford County,GA,2018,"5,703","5,466",237,4.2
Crisp County,GA,2018,"9,399","8,943",456,4.9
Dade County,GA,2018,"8,274","7,974",300,3.6
Dawson County,GA,2018,"12,040","11,639",401,3.3
Decatur County,GA,2018,"11,551","11,012",539,4.7
DeKalb County,GA,2018,"399,846","383,773","16,073",4
Dodge County,GA,2018,"7,176","6,804",372,5.2
Dooly County,GA,2018,"5,157","4,919",238,4.6
Dougherty County,GA,2018,"38,361","36,395","1,966",5.1
Douglas County,GA,2018,"72,900","69,898","3,002",4.1
Early County,GA,2018,"4,560","4,351",209,4.6
Echols County,GA,2018,"1,900","1,839",61,3.2
Effingham County,GA,2018,"29,925","28,936",989,3.3
Elbert County,GA,2018,"7,843","7,465",378,4.8
Emanuel County,GA,2018,"8,324","7,834",490,5.9
Evans County,GA,2018,"4,915","4,735",180,3.7
Fannin County,GA,2018,"11,207","10,765",442,3.9
Fayette County,GA,2018,"57,768","55,758","2,010",3.5
Floyd County,GA,2018,"44,274","42,368","1,906",4.3
Forsyth County,GA,2018,"118,048","114,331","3,717",3.1
Franklin County,GA,2018,"9,993","9,610",383,3.8
Fulton County,GA,2018,"555,127","532,817","22,310",4
Gilmer County,GA,2018,"11,992","11,485",507,4.2
Glascock County,GA,2018,"1,295","1,241",54,4.2
Glynn County,GA,2018,"40,225","38,749","1,476",3.7
Gordon County,GA,2018,"27,993","26,940","1,053",3.8
Grady County,GA,2018,"10,684","10,271",413,3.9
Greene County,GA,2018,"6,994","6,697",297,4.2
Gwinnett County,GA,2018,"487,986","470,913","17,073",3.5
Habersham County,GA,2018,"19,385","18,670",715,3.7
Hall County,GA,2018,"102,169","98,934","3,235",3.2
Hancock County,GA,2018,"2,479","2,330",149,6
Haralson County,GA,2018,"12,508","12,026",482,3.9
Harris County,GA,2018,"16,736","16,165",571,3.4
Hart County,GA,2018,"11,681","11,258",423,3.6
Heard County,GA,2018,"5,208","5,006",202,3.9
Henry County,GA,2018,"113,843","109,127","4,716",4.1
Houston County,GA,2018,"70,197","67,394","2,803",4
Irwin County,GA,2018,"3,340","3,153",187,5.6
Jackson County,GA,2018,"36,248","35,165","1,083",3
Jasper County,GA,2018,"6,926","6,686",240,3.5
Jeff Davis County,GA,2018,"6,077","5,781",296,4.9
Jefferson County,GA,2018,"6,747","6,388",359,5.3
Jenkins County,GA,2018,"3,206","3,033",173,5.4
Johnson County,GA,2018,"4,147","3,983",164,4
Jones County,GA,2018,"13,886","13,378",508,3.7
Lamar County,GA,2018,"8,118","7,748",370,4.6
Lanier County,GA,2018,"3,845","3,676",169,4.4
Laurens County,GA,2018,"19,524","18,585",939,4.8
Lee County,GA,2018,"14,885","14,355",530,3.6
Liberty County,GA,2018,"25,706","24,597","1,109",4.3
Lincoln County,GA,2018,"3,611","3,432",179,5
Long County,GA,2018,"8,028","7,710",318,4
Lowndes County,GA,2018,"51,746","49,640","2,106",4.1
Lumpkin County,GA,2018,"16,714","16,114",600,3.6
McDuffie County,GA,2018,"8,973","8,474",499,5.6
McIntosh County,GA,2018,"6,190","5,943",247,4
Macon County,GA,2018,"4,731","4,436",295,6.2
Madison County,GA,2018,"13,689","13,206",483,3.5
Marion County,GA,2018,"3,435","3,261",174,5.1
Meriwether County,GA,2018,"8,947","8,500",447,5
Miller County,GA,2018,"2,813","2,709",104,3.7
Mitchell County,GA,2018,"8,408","7,956",452,5.4
Monroe County,GA,2018,"13,043","12,564",479,3.7
Montgomery County,GA,2018,"3,799","3,582",217,5.7
Morgan County,GA,2018,"9,067","8,744",323,3.6
Murray County,GA,2018,"15,943","15,096",847,5.3
Muscogee County,GA,2018,"79,354","75,325","4,029",5.1
Newton County,GA,2018,"51,780","49,474","2,306",4.5
Oconee County,GA,2018,"19,687","19,105",582,3
Oglethorpe County,GA,2018,"7,124","6,863",261,3.7
Paulding County,GA,2018,"83,868","80,981","2,887",3.4
Peach County,GA,2018,"11,911","11,304",607,5.1
Pickens County,GA,2018,"15,158","14,626",532,3.5
Pierce County,GA,2018,"8,686","8,352",334,3.8
